ensembl_gene_id	gene_biotype	external_gene_name	percentage_gene_gc_content
ENSMUSG00000000001	protein_coding	Gnai3	41.65
ENSMUSG00000000003	protein_coding	Pbsn	38.23
ENSMUSG00000000028	protein_coding	Cdc45	46.23
ENSMUSG00000000031	lincRNA	H19	55.83
ENSMUSG00000000037	protein_coding	Scml2	39.03
ENSMUSG00000000049	protein_coding	Apoh	43.83
ENSMUSG00000000056	protein_coding	Narf	46.96
ENSMUSG00000000058	protein_coding	Cav2	39.77
ENSMUSG00000000078	protein_coding	Klf6	43.44
ENSMUSG00000000085	protein_coding	Scmh1	39.89
ENSMUSG00000000088	protein_coding	Cox5a	42.75
ENSMUSG00000000093	protein_coding	Tbx2	55.36
ENSMUSG00000000094	protein_coding	Tbx4	50.74
ENSMUSG00000000103	protein_coding	Zfy2	36.56
ENSMUSG00000000120	protein_coding	Ngfr	53.62
ENSMUSG00000000125	protein_coding	Wnt3	52.32
ENSMUSG00000000126	protein_coding	Wnt9a	52.53
ENSMUSG00000000127	protein_coding	Fer	40.27
ENSMUSG00000000131	protein_coding	Xpo6	43.53
ENSMUSG00000000134	protein_coding	Tfe3	51.75
ENSMUSG00000000142	protein_coding	Axin2	53.94
ENSMUSG00000000148	protein_coding	Brat1	51.56
ENSMUSG00000000149	protein_coding	Gna12	47.49
ENSMUSG00000000154	protein_coding	Slc22a18	52
ENSMUSG00000000157	protein_coding	Itgb2l	49.83
ENSMUSG00000000159	protein_coding	Igsf5	44.82
ENSMUSG00000000167	protein_coding	Pih1d2	43.52
ENSMUSG00000000168	protein_coding	Dlat	44.1
ENSMUSG00000000171	protein_coding	Sdhd	45.09
ENSMUSG00000000182	protein_coding	Fgf23	46.08
ENSMUSG00000000183	protein_coding	Fgf6	49.34
ENSMUSG00000000184	protein_coding	Ccnd2	49.26
ENSMUSG00000000194	protein_coding	Gpr107	49.01
ENSMUSG00000000197	protein_coding	Nalcn	38.67
ENSMUSG00000000202	protein_coding	Btbd17	56.02
ENSMUSG00000000204	protein_coding	Slfn4	43.3
ENSMUSG00000000214	protein_coding	Th	51.59
ENSMUSG00000000215	protein_coding	Ins2	42.6
ENSMUSG00000000216	protein_coding	Scnn1g	45.71
ENSMUSG00000000223	protein_coding	Drp2	44.54
ENSMUSG00000000244	protein_coding	Tspan32	53.07
ENSMUSG00000000247	protein_coding	Lhx2	50
ENSMUSG00000000248	protein_coding	Clec2g	41.63
ENSMUSG00000000253	protein_coding	Gmpr	48.23
ENSMUSG00000000263	protein_coding	Glra1	45.7
ENSMUSG00000000266	protein_coding	Mid2	40.18
ENSMUSG00000000275	protein_coding	Trim25	48.45
ENSMUSG00000000276	protein_coding	Dgke	43.85
ENSMUSG00000000278	protein_coding	Scpep1	47.22
ENSMUSG00000000282	protein_coding	Mnt	56.49
ENSMUSG00000000290	protein_coding	Itgb2	50.26
ENSMUSG00000000295	protein_coding	Hddc2	42.09
ENSMUSG00000000296	protein_coding	Tpd52l1	40.19
ENSMUSG00000000301	protein_coding	Pemt	49.74
ENSMUSG00000000303	protein_coding	Cdh1	47.03
ENSMUSG00000000305	protein_coding	Cdh4	49.53
